2
6
1
150
0.9
50
5	1.5
5	2
5	2.5
5	3
5	3.5
5	4
5	4.5
5	5
5	5.5
5	6
5	6.5
5	7
5	7.5
5	8
5	8.5
5	9
5	9.5
5	10
5	10.5
5	11
10	1.5
10	2
10	2.5
10	3
10	3.5
10	4
10	4.5
10	5
10	5.5
10	6
10	6.5
10	7
10	7.5
10	8
10	8.5
10	9
10	9.5
10	10
10	10.5
10	11
15	2
15	2.5
15	3
15	3.5
15	4
15	4.5
15	5
15	5.5
15	6
15	6.5
15	7
15	7.5
15	8
15	8.5
15	9
15	9.5
15	10
15	10.5
15	11
15	11.5
20	2
20	2.5
20	3
20	3.5
20	4
20	4.5
20	5
20	5.5
20	6
20	6.5
20	7
20	7.5
20	8
20	8.5
20	9
20	9.5
20	10
20	10.5
20	11
20	11.5
25	2.5
25	3
25	3.5
25	4
25	4.5
25	5
25	5.5
25	6
25	6.5
25	7
25	7.5
25	8
25	8.5
25	9
25	9.5
25	10
25	10.5
25	11
25	11.5
25	12
30	3
30	3.5
30	4
30	4.5
30	5
30	5.5
30	6
30	6.5
30	7
30	7.5
30	8
30	8.5
30	9
30	9.5
30	10
30	10.5
30	11
30	11.5
30	12
30	12.5
35	3.5
35	4
35	4.5
35	5
35	5.5
35	6
35	6.5
35	7
35	7.5
35	8
35	8.5
35	9
35	9.5
35	10
35	10.5
35	11
35	11.5
35	12
35	12.5
35	13
40	4.5
40	5
40	5.5
40	6
40	6.5
40	7
40	7.5
40	8
40	8.5
40	9
47.89
34.3
27.42
23.13
20.18
18.02
16.37
15.07
14.02
13.16
12.44
11.82
11.3
10.85
10.45
10.1
9.79
9.52
9.27
9.05
56.68
39.31
31.85
27.38
24.38
22.23
20.62
19.38
18.39
17.59
16.93
16.38
15.92
15.53
15.19
14.9
14.65
14.43
14.23
14.06
45.34
36.94
32.24
29.19
27.06
25.5
24.32
23.4
22.67
22.08
21.6
21.2
20.86
20.58
20.33
20.12
19.94
19.78
19.64
19.52
53.42
42.89
37.76
34.6
32.46
30.94
29.8
28.93
28.26
27.71
27.28
26.92
26.62
26.37
26.16
25.97
25.82
25.68
25.56
25.46
50.25
44.14
40.69
38.46
36.91
35.78
34.93
34.28
33.76
33.35
33.01
32.73
32.5
32.3
32.14
31.99
31.87
31.76
31.67
31.59
52.01
47.76
45.22
43.54
42.34
41.46
40.79
40.27
39.85
39.52
39.24
39.01
38.82
38.66
38.52
38.4
38.29
38.2
38.12
38.05
57.19
53.46
51.3
49.85
48.83
48.07
47.48
47.02
46.65
46.35
46.11
45.9
45.73
45.58
45.45
45.34
45.24
45.16
45.08
45.02
64.34
60.26
58.4
57.19
56.32
55.67
55.17
54.77
54.44
54.17
5	11.5
5	12
5	12.5
5	13
5	13.5
5	14
5	14.5
5	15
5	15.5
5	16
10	11.5
10	12
10	12.5
10	13
10	13.5
10	14
10	14.5
10	15
10	15.5
10	16
15	12
15	12.5
15	13
15	13.5
15	14
15	14.5
15	15
15	15.5
15	16
15	16.5
20	12
20	12.5
20	13
20	13.5
20	14
20	14.5
20	15
20	15.5
20	16
20	16.5
25	12.5
25	13
25	13.5
25	14
25	14.5
25	15
25	15.5
25	16
25	16.5
25	17
8.86
8.68
8.51
8.36
8.23
8.1
7.99
7.88
7.78
7.69
13.91
13.77
13.65
13.54
13.44
13.35
13.26
13.19
13.12
13.06
19.41
19.32
19.23
19.15
19.09
19.02
18.97
18.91
18.87
18.82
25.37
25.29
25.21
25.15
25.09
25.04
24.99
24.95
24.91
24.88
31.51
31.45
31.39
31.34
31.29
31.25
31.21
31.17
31.14
31.11
